Song,Album,Summary,,Happiness/Sadness,,,,In/Out of a Relationship,,,,
,,Happy/Sad,Relationship,Feelings of self,Glass half full,Stages,Tempo,Seriousness,Future prospects,Feelings of male,Togetherness,Embed
I Bet You Think About Me,Red (Taylor's Version),1,-10,2,-3,0,2,-2,-2,-3,-3,https://open.spotify.com/embed/track/4CkgMiMqZ5JzW9iYXSTMTL?utm_source=generator
Forever Winter,Red (Taylor's Version),4,8,-1,0,3,2,2,2,1,3,https://open.spotify.com/embed/track/3oGVx9RBmiYGv5ZCecWLkx?utm_source=generator
Run,Red (Taylor's Version),6,9,2,1,1,2,2,2,3,2,https://open.spotify.com/embed/track/4IQkfUsrwXol38VV3U7t7T?utm_source=generator
The Very First Night,Red (Taylor's Version),3,-2,0,0,1,2,-1,0,0,-1,https://open.spotify.com/embed/track/6pYNq0ZwpPVazKzsqpf0G8?utm_source=generator
All Too Well (10 Minute Version),Red (Taylor's Version),-9,-9,-1,-2,-3,-3,-3,-2,-2,-2,https://open.spotify.com/embed/track/5enxwA8aAbwZbf5qCHORXi?utm_source=generator
Lavender Haze,Midnights,-1,3,-1,-1,1,0,2,0,1,0,https://open.spotify.com/embed/track/5jQI2r1RdgtuT8S3iG8zFC?utm_source=generator
Maroon,Midnights,0,-4,0,-2,0,2,-1,-1,-2,0,https://open.spotify.com/embed/track/3eX0NZfLtGzoLUxPNvRfqm?utm_source=generator
Anti-Hero,Midnights,-3,-2,-3,-3,1,2,0,0,0,-2,https://open.spotify.com/embed/track/0V3wPSX9ygBnCm8psDIegu?utm_source=generator
Snow On The Beach,Midnights,5,3,1,1,1,2,2,0,0,1,https://open.spotify.com/embed/track/4zmKGsrXjLmljb5fTaBTot?utm_source=generator
"You're On Your Own, Kid",Midnights,5,-5,1,0,2,2,-1,-2,-1,-1,https://open.spotify.com/embed/track/4D7BCuvgdJlYvlX5WlN54t?utm_source=generator
Midnight Rain,Midnights,-2,-6,-3,-1,0,2,-1,-2,-2,-1,https://open.spotify.com/embed/track/3rWDp9tBPQR9z6U5YyRSK4?utm_source=generator
Question…?,Midnights,3,-3,0,0,1,2,-1,0,0,-2,https://open.spotify.com/embed/track/0heeNYlwOGuUSe7TgUD27B?utm_source=generator
